User_ID,Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml)
496,Eggs,Meat,173,42.4,83.7,1.5,1.5,12.7,752,125,Lunch,478
201,Apple,Fruits,66,39.2,13.8,3.2,2.6,12.2,680,97,Lunch,466
776,Chicken Breast,Meat,226,27.1,79.1,25.8,3.2,44.7,295,157,Breakfast,635
112,Banana,Fruits,116,43.4,47.1,16.1,6.5,44.1,307,13,Snack,379
622,Banana,Fruits,500,33.9,75.8,47,7.8,19.4,358,148,Lunch,471
620,Oats,Grains,387,31.2,6.8,39.5,5.1,0.7,300,244,Dinner,727
714,Carrot,Vegetables,138,28.2,12.4,20.2,2.8,37.8,933,15,Dinner,733
992,Cookies,Snacks,69,36.8,17.8,15,9.6,36.4,185,228,Snack,386
535,Apple,Fruits,568,6.7,7,23.4,6.4,46.9,336,129,Breakfast,931
594,Quinoa,Grains,204,19.3,62.7,31.8,6.8,40.3,887,135,Snack,662
856,Oats,Grains,108,40.6,13.9,12.2,9.3,44.7,530,194,Lunch,624
621,Tomato,Vegetables,117,34.4,21,10.1,9.1,18.5,66,180,Dinner,799
74,Orange Juice,Beverages,147,20.1,32.7,8.9,7,42.4,500,250,Snack,661
634,Cookies,Snacks,468,23.7,89.2,3.1,6.3,31.3,342,225,Lunch,607
151,Beef Steak,Meat,157,27.5,32.4,9.4,0.5,24.6,180,68,Lunch,724
863,Pork Chop,Meat,385,15.8,36.5,33.1,2.1,27.6,134,88,Lunch,421
651,Oats,Grains,297,36.3,76.4,24.9,2.9,37.6,269,66,Lunch,338
770,Grapes,Fruits,274,42.4,54.5,45.2,8.2,20.3,507,76,Breakfast,463
986,Milkshake,Beverages,353,24,96.2,6.8,0.9,17.5,305,17,Lunch,618
660,Eggs,Meat,569,4.3,23.2,31.9,9.5,28.2,373,17,Breakfast,416
54,Pasta,Grains,217,28.1,8.3,38.9,3.7,43.2,653,176,Dinner,224
135,Oats,Grains,492,32.8,45.9,27.5,7.5,5.1,435,70,Breakfast,255
66,Orange,Fruits,222,21.1,85,45.1,1.7,46.8,422,260,Snack,876
965,Pasta,Grains,335,38,64.7,39.1,9.5,2.1,322,139,Snack,786
581,Nuts,Snacks,552,25.9,27.4,39.2,1.5,47.3,338,292,Breakfast,751
759,Cheese,Dairy,252,18,24.9,31,8.2,43.6,744,110,Breakfast,244
6,Strawberry,Fruits,141,19,93.3,11.8,5.7,20,970,263,Lunch,967
386,Oats,Grains,336,43.1,56.8,21.9,9.4,18.1,452,262,Lunch,791
351,Butter,Dairy,315,37.8,25.5,15.6,1.2,1,555,119,Breakfast,863
643,Orange Juice,Beverages,553,44.1,25.7,21.9,4.5,36.7,888,171,Dinner,455
98,Quinoa,Grains,496,18.1,24.9,16.5,0.2,13,346,57,Breakfast,452
547,Rice,Grains,142,14.6,21.9,41.4,2.7,46.5,947,48,Lunch,868
932,Oats,Grains,71,4,62.8,42.7,1.7,31.2,87,109,Breakfast,248
441,Strawberry,Fruits,595,32.5,23.8,35.1,9.3,32,389,278,Dinner,942
271,Orange,Fruits,165,7.7,35,44.2,5.3,8.7,21,154,Dinner,685
421,Yogurt,Dairy,568,27.5,63.4,25.4,1.6,9.5,360,20,Snack,927
192,Butter,Dairy,437,41.2,71.7,6,7.8,14.8,893,8,Snack,665
191,Quinoa,Grains,195,45,40.9,31.6,8.8,0.8,372,184,Breakfast,823
961,Beef Steak,Meat,71,33.4,70,27.3,6.6,44.3,864,31,Snack,846
236,Apple,Fruits,271,13.7,89.5,33.8,8,3.9,509,289,Snack,728
755,Cheese,Dairy,353,34.1,87.5,47,3.3,17,172,194,Snack,786
324,Broccoli,Vegetables,219,32.6,49.5,30.3,9.4,23.5,771,138,Dinner,663
369,Water,Beverages,171,47.4,80.3,10.1,9,44.3,525,264,Breakfast,985
523,Beef Steak,Meat,539,43.1,35.6,15.6,0.2,33.1,496,82,Lunch,506
23,Beef Steak,Meat,86,48.7,52.9,9.3,5.9,5.2,888,216,Snack,876
395,Paneer,Dairy,173,22.1,59.4,30.1,5.2,12.4,424,10,Snack,986
462,Cheese,Dairy,359,31.6,30.8,13.3,3.1,18.3,880,236,Lunch,643
882,Salmon,Meat,508,5.3,70.4,40.3,6.1,47.2,423,230,Snack,470
962,Grapes,Fruits,294,21.6,97.9,23.5,8.1,45.5,934,4,Breakfast,624
609,Yogurt,Dairy,315,4.7,23.6,7.5,9.2,4.8,971,277,Dinner,989
47,Nuts,Snacks,191,28.8,39.6,40.3,6.5,23.9,842,282,Dinner,903
24,Apple,Fruits,485,49.2,81.2,5.8,3.7,44.1,343,123,Lunch,573
502,Milk,Dairy,282,30.3,69.7,21.5,5.4,39.9,731,263,Dinner,491
799,Salmon,Meat,281,19.6,61,29.7,2.7,4.1,871,289,Snack,272
248,Quinoa,Grains,233,39.6,53.4,44.6,8.7,38.4,433,247,Lunch,929
272,Beef Steak,Meat,184,19,39.9,1.1,0.8,39.1,762,102,Dinner,642
812,Pork Chop,Meat,449,44.3,76.2,39.8,5.5,5.1,828,231,Snack,168
658,Chicken Breast,Meat,547,20.3,33.9,44.9,7.6,28.5,587,151,Snack,232
128,Chicken Breast,Meat,285,13.9,46.2,31.8,8.8,28.8,764,103,Dinner,257
436,Banana,Fruits,244,2.6,93.3,22.2,3.6,40,675,268,Breakfast,831
164,Coffee,Beverages,484,29.7,70.2,37.9,8.6,32.7,569,176,Lunch,269
228,Chicken Breast,Meat,592,34.7,55.6,21.1,2.9,35.3,561,116,Snack,859
438,Orange,Fruits,57,8.4,65.5,35.9,8.4,49.3,973,67,Dinner,845
893,Eggs,Meat,434,47.5,34.2,25.5,6,15.9,247,11,Dinner,522
644,Broccoli,Vegetables,527,16.1,76.4,34.7,4.5,22,360,61,Breakfast,727
186,Butter,Dairy,538,36.3,17.8,29.8,2,42.9,39,18,Dinner,818
388,Coffee,Beverages,276,20.7,97.9,27.3,4.7,4.8,168,142,Dinner,202
521,Apple,Fruits,558,12.3,55.4,26.1,4.1,4.8,38,147,Dinner,750
